trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.5, 'e': 0.9207933114157293}",25,0,-224.53603079968616,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9195979882513085}",20,0,-97.57912589041989,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.9184012345793309}",20,0,-67.56217159119804,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9172030469717629}",25,0,-159.30220326039426,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9160034219882338}",30,4,-113.378854408085,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.9148023561759764}",25,0,-131.45565461966504,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9135998460697677}",20,1,-51.12536674427009,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.9123958881918688}",20,0,-80.00482645317447,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9111904790519642}",20,0,-60.885506299443435,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9099836151471017}",25,0,-52.17832051225683,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.908775292961631}",30,0,-257.77520388108616,"{0: 15, 1: 0, 2: 10, 3: 1, 4: 4}",0
80,False,"{'a': 0.5, 'e': 0.9075655089671419}",20,0,-72.1691936099887,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
